chunk_text,manuelle,compound_score
al om s lorganisation mondiale de la santé profiterait de la guerre en ukraine pour préparer en coulisse une obligation vaccinale à grande échelle cest ce que soutient un texte partager des milliers de fois sur léquivalent russe de facebook,"0,6",0.0
vérification Musique a dabord prenons le texte en question daté du 9 mars en voici quelques unes le msc bill gates profite que le monde est distrait par lintervention de la russie en ukraine pour imposer la vaccination générale par,"0,6",0.0
larticle 19 de la constitution de l oms selon lequel lassemblée générale de lom est peut adopter des accords contraignants pour tous les états membres en effet les négociations sur un accord contraignant sur la pandémie ont commencé à lom,"0,6",0.0
est à genève le 1er mars dans ce document plusieurs éléments interpelle dabord le nom de son auteur ou en tout cas de la personne à qui lon prête ses mots christian perronne est un infectiologue controversé qui a dit,"0,3",-0.128
notamment que les personnes vaccinées étaient dangereuses le texte accusateurs évoque aussi un monde distrait par ce qui se passe en ukraine comme si les discussions actuellement en cours au sein de l oms était clandestine cest faux elles sont,"0,3",0.0
publiques et parfois évoquée en ligne sur le site internet de lom s est ce que lon sait de ces pourparlers cest quil porte sur un traité des pandémies et selon un spécialiste de lom est ce que nous avons,0,0.0
interrogé la question de lobligation vaccinale mais pas sur la table moi je nai pas entendu dans aucun document pied de metz une discussion sur lobligation vaccinale simplement comment mieux améliorer la coopération comment même partager les financements pour mieux,"0,3",0.0
répondre et plus efficacement à la lutte contre la diffusion de virus dans mon autre point ce futur traité devrait être adoptée dans le cadre de larticle 19 de la constitution de lom est ce que dit cet article 19,0,0.0
et bien il prévoit que la validation du texte passe par une majorité des deux tiers mais à vrai dire cet article n a été utilisé que deux fois car lom est préfèrent généralement obtenir un consensus en pratique mais,0,-0.4588
ça a toujours fonctionné selon le principe du consensus cest à dire quelle ne proposera aucun texte si par anticipation au moment de sa soumission au vote elle n a pas obtenu de consensus et même quand le texte fait,0,-0.3818
consensus sil nest pas sûr ensuite dêtre ratifié par les états membres car il faut le savoir ils ont toujours le dernier mot dailleurs même si un état membre ratifie un texte il nest pas forcément appliqué exemple en 2005,0,0.0
aux états unis avec le traité de lom est encadrant la lutte antitabac il états unis la convention 48 réveille pas par exemple ne sont pas liés par ses fonctions parce qu ils ont un problème interne qui fait que,0,0.0
le sénat est sur une position ils ont fini mais tout en sachant quils pourraient pas mettre mon autrement dit il est illusoire de penser quune institution comme le ms possède des leviers pour imposer par exemple une obligation vaccinale,"0,3",-0.128
en fait lune des plus grande force de lom sc2 motivée scientifiquement ses recommandations pour convaincre ses membres lélément le commandement pour msc depuis fondé toute proposition toute recommandation toutes lignes directrices sur la science si votre objectif cest daméliorer,"0,3",0.0
votre santé les msi propose des solutions basées sur la science pour y remédier rappelez vous il ya tout juste deux ans donald choqué alors président des états unis avait beaucoup critiqué l oms coupable à ses yeux de ne,"0,3",0.0516
pas être suffisamment ferme face à la chine berceau de lakovic 19 difficile de croire maintenant que linstitution serait devenu tout dun coup toute puissante et incontrôlable Musique,"0,3",-0.128
